Grade,Date Sent,Date Set,Setter,Attempts,Sessions,Color,Angles,Notable Holds,Notes,Week,Cycle,What I did good,What I didn't do well
4,8/27/18,,KJ,6,2,Black,25 Degree Angle (Tanker South),"Incut Crimps, Huge Jugs","Backflag,wide feet",1,1,,
4,8/27/18,,KJ/WW,21,4,Green,"Vertical, Low Angle",Faceless slopers,"Drop Knee, Getting low on sloper",1,1,,
4,8/31/18,,JC,3,1,Red,Low Angle,"Faceless slopers, juggy pockets, fat pinch","Slap a sloper, bump, outside edge flag",1,1,,
4,8/31/18,,JW,5,2,Blue,Vertical,Large Slopers,Fun balancey sloper problem. Over once you hit the bowling ball hold. Went in like 15 mins,1,1,,
5,8/31/18,,EE,4,1,Black,Vertical,"Crimpy pinches, Quarter Pad Crimps, Positive Ledgy Slopers",Using the three quarter pads as an intermediate to bump to the good sloper helped,1,1,,
4,9/4/18,,JC,4,1,Blue,"Low Angle, Slab","Fat Pinches, Flat Slopers, Narrow Pinch",Really fun mantle and had to trust smear on volume to match the finish foothold. Also the heelhook to stabilize on the pinch helped.,,1,,
4,9/4/18,,RMS,1,1,White,Low Angle,Flat Pinches (Rails),Smarter Foot Beta to be had,,1,,
4,9/5/18,,KJ,1,1,Orange,Low Angle,"Small flat edges, medium pinches","Casual Flash, Fun traverse at beginning",,1,,
4,9/5/18,,JW,6,1,Pink,Overhung (30 Degrees),Large Jugs,Despite being juggy all the holds were facing the wrong way. Interesting pseudo kneebar at first move.,,1,,
4,9/5/18,,RAB*,1,1,Red,Vert with a slight low angle section,,,,1,,
4,9/5/18,,MM/ARV (me)*,5,1,Green,Vert with a slight low angle section,,,,1,,
4,9/7/18,,GW,16,1,White,Slab,"Flat Jug, Rail, Small flat half pad edge",The mantel on the pinch rail was really fun. What unlocked this problem is getting low and shimmying up on the ledge to gain the corner and then shifting foot over to stand and then dyno to the end.,,1,,
4,9/10/18,,ALS,1,1,White,"Overhung (30 Degrees), Dihedral","Small incut jugs, large rail jugs",Twistlocking to gain the last hold was a little tough but an easy 4,,1,,
